   1 	     7.4949 
   2 	    16.9283 
   3 	    26.3602 
   4 	    35.7438 
   5 	    45.1648 
   6 	    54.5375 
   7 	    63.9552 
   8 	    73.3260 
   9 	    82.7851 
  10 	    92.1858 
  11 	   101.6016 
  12 	   111.0241 
  13 	   120.3992 
  14 	   129.8156 
  15 	   139.2400 
  16 	   148.6074 
  17 	   158.0045 
  18 	   167.4451 
  19 	   176.8561 
  20 	   186.2337 
  21 	   195.6658 
  22 	   205.0660 
  23 	   214.4298 
  24 	   223.8787 
  25 	   233.2801 
  26 	   242.6855 
  27 	   252.1179 
  28 	   261.5216 
  29 	   270.8655 
